hash,Plec,Wiek,temperatura,posner validRT Mean,posner Invalid RT Mean,posner control RT Mean,posner valid ACC,posner Invalid ACC,posner control ACC,N0,N1,N2,N0RT,N1RT,N2RT,Transit between Acc,Transit between RT,Transit inside Acc,Transit inside RT,Transit Control Acc,Transit control RT,NEO N,NEO E,NEO O,NEO U,NEO S,FCZ ZW,ECZ PE,FCZ RT,FCZ WS,FCZ WT,FCZ RE,FCZ AK,STAI X-1,STAI X-2,Test matryc,EPQ N,EPQ E,EPQ P,EPQ K,EPQ U,EPQ PR,WAIS arytmetyka,WAIS powt cyfr,WAIS symb cyfr,WAIS IQ,CwP PUK,CwP PBS,CwP PZL,CwP PZI,CwP KO,CwP IK,CwP S,CwP P,REC N,REC E,REC O,REC U,REC S
4C369AD1,0,24.0,37.0072,360.89,418.95,386.26,0.81,0.89,0.84,16.0,8.0,8.0,358.6,409.95,556.39,16.0,4469.25,15.0,5557.55,15.0,4757.71,98,132,148,114,136,42,44,20,49,44,38,48,34,36,58,13,18,7,13,13,13,70,14,86,136,83,34,22,22,27,56,39,39,3.04,3.75,4.08,3.38,3.83
59AF4877,0,24.0,37.5658,271.8,286.45,289.32,0.83,0.9,0.8,16.0,8.0,6.0,363.5,379.7,500.32,14.0,6576.61,18.0,6220.17,19.0,5602.81,88,132,138,121,118,41,39,23,45,38,40,40,31,39,55,12,17,13,3,15,12,18,21,59,113,78,32,21,22,27,51,39,35,2.83,3.75,3.88,3.52,3.46
5A657DB3,0,23.0,37.4028,,,,,,,16.0,8.0,7.0,535.7188,441.125,472.7571,13.0,8219.7231,9.0,8941.7889,15.0,8364.5933,85,86,135,135,132,38,42,29,44,35,35,38,30,33,58,10,16,6,11,10,10,76,21,62,138,69,28,21,19,21,50,35,31,2.77,2.79,3.81,3.81,3.75
5B65F0C6,0,24.0,37.2277,300.79,347.35,337.02,0.84,0.8,0.9,16.0,8.0,8.0,401.38,371.9,364.59,19.0,3706.05,16.0,2888.94,19.0,3876.09,136,87,150,145,68,46,43,10,48,25,46,23,42,48,57,17,10,15,10,15,15,53,12,66,117,90,31,29,23,25,65,41,42,3.83,2.81,4.13,4.02,2.42
6AF112E9,1,27.0,38.6155651403054,271.9,390.9,360.5,0.79,0.85,0.8,16.0,8.0,8.0,378.23,429.05,547.48,17.0,5349.87,19.0,5675.25,17.0,5041.04,51,115,102,64,142,46,26,20,42,55,21,40,23,24,56,2,15,13,9,7,10,64,17,67,123,74,27,24,23,22,54,38,33,2.06,3.4,3.13,2.33,3.96
6E1B1C96,0,23.0,36.8617,,,,0.7848,0.95,0.88,16.0,8.0,8.0,334.1937,331.375,990.05,15.0,4842.3733,15.0,3726.5467,16.0,5016.55,81,137,131,98,127,39,40,19,48,49,28,42,38,41,49,13,5,1,10,11,7,40,17,65,111,74,26,18,28,25,68,39,14,,,,,
7292ACBC,1,27.0,37.2416,260.25,320.0,311.12,0.86,0.75,0.84,16.0,7.0,8.0,355.33,388.59,464.1,13.0,6386.69,14.0,5633.87,17.0,6311.45,86,118,128,86,146,45,45,23,41,34,33,44,32,40,60,15,19,9,13,11,18,62,16,69,128,87,33,26,25,29,58,39,39,2.79,3.46,3.67,2.79,4.04
72E2D3E3,1,24.0,37.8813,,,,,,,16.0,8.0,8.0,364.5625,490.875,713.175,17.0,3559.9824,15.0,4231.1,18.0,3718.6278,84,121,141,104,162,51,49,28,47,34,33,47,15,7,0,21,3,10,9,24,25,32,18,42,113,89,34,28,25,29,70,43,20,2.75,3.52,3.94,3.17,4.38
7CF5182A,1,25.0,36.6957,,,,,,,16.0,8.0,8.0,347.1,411.85,476.31,,,,,,,72,125,121,122,109,45,39,18,39,42,40,41,40,38,57,11,19,9,10,6,11,70,15,78,128,74,29,24,22,27,50,38,36,2.5,3.6,3.52,3.54,3.27
7F0D5B70,1,27.0,,289.23,316.7,327.48,0.84,0.75,0.86,,,,,,,18.0,4918.3,16.0,3854.98,19.0,4748.17,109,131,103,102,84,41,42,26,42,39,33,49,39,46,56,15,18,13,4,18,20,66,14,66,125,74,27,24,23,22,54,38,33,3.27,3.73,3.15,3.13,2.75
