hash,REC N,REC E,REC O,REC U,REC S
CB45FB80,2.85,3.21,3.33,2.98,3.42
CC2C8039,2.02,2.98,2.9,3.56,3.85
CE2D5264,2.85,3.48,4.06,4.15,3.1
D2C854DC,2.06,3.67,3.4,3.44,4.31
D32FED91,2.92,3.31,3.94,3.42,3.31
D33D5C83,2.46,3.77,3.42,3.13,4.33
D79AE15A,3.21,3.17,3.04,3.81,3.65
D94760AB DDAA8871,3.1,3.6,4.1,3.58,2.98
DAC35D67,1.23,3.44,3.67,3.4,3.13
E24DC6C2,3.21,2.65,3.33,3.13,3.52
E2FC1075,3.5,2.85,3.67,3.94,3.79
E43ED139,3.4,3.04,3.44,3.4,2.9
E5C6044D,2.42,3.44,3.6,3.5,3.44
E62D11F8,2.98,2.9,3.35,3.75,3.4
EA8052CF,2.81,3.08,2.83,3.56,3.69
ED6F03A9,2.63,4,4.38,3.21,3.4
EDDC5422,2.71,3.08,3.9,3.58,3.81
EE44B560,3.85,2.88,3.67,3.31,3.5
EF18217C,3.77,3.63,4,3.25,3.1
F08D15C2,2.69,2.46,3.42,3.13,3.04
F439B3BA,2.48,3.21,3.04,3.5,4
F4EE7882,2.83,3.52,4.08,3.33,2.75
F53FB27C,3.9,3.08,3.19,3.25,3.31
FC311A59,2.48,4.33,3.81,3.46,3.92
FC680688,3.21,2.83,3.73,3.85,3.85
FE1831FD,2.96,3.33,3.48,2.71,3.79
FEB600A9,1.31,3.75,3.75,4.25,4.46
FF627968,2.83,2.63,3.85,3.92,3.81
FFB513F5,3.42,3.17,3.71,3.79,4.08
